iter	RMSE
0	80710.9844
1	80321.34998
2	79943.11802
3	79600.65872
4	79298.66788
5	79022.76617
6	78753.15279
7	78521.98227
8	78321.7087
9	78105.58935
10	77922.72244
11	77757.66079
12	77592.47314
13	77453.11687
14	77323.09184
15	77202.11708
16	77082.07561
17	76977.29687
18	76878.39642
19	76792.16454
20	76696.67374
21	76625.45604
22	76553.04428
23	76480.81435
24	76417.79957
25	76362.87464
26	76300.15434
27	76253.32493
28	76200.93209
29	76147.49582
30	76105.58757
31	76070.54948
32	76036.13501
33	75993.99669
34	75949.58451
35	75909.31661
36	75872.674
37	75839.47448
38	75808.78171
39	75785.49235
40	75760.24972
41	75738.42701
42	75718.37213
43	75697.23817
44	75668.51567
45	75639.9603
46	75612.21332
47	75597.12074
48	75570.00836
49	75550.14025
50	75537.92415
51	75521.15747
52	75510.05156
53	75479.06532
54	75453.71212
55	75441.9075
56	75427.87399
57	75415.17179
58	75396.55139
59	75373.04218
60	75359.56624
61	75344.93186
62	75329.18612
63	75320.82006
64	75310.3195
65	75301.92392
66	75294.41503
67	75278.45976
68	75267.15246
69	75244.61054
70	75223.66262
71	75218.16038
72	75194.35148
73	75184.59937
74	75173.57839
75	75165.5474
76	75151.38429
77	75134.61512
78	75112.94338
79	75100.5494
80	75093.86577
81	75085.15478
82	75078.17003
83	75070.99487
84	75063.73848
85	75049.59291
86	75043.12809
87	75029.57739
88	75019.35031
89	75010.94644
90	74999.73956
91	74987.47766
92	74982.61643
93	74966.14562
94	74949.29446
95	74942.37033
96	74936.66531
97	74919.56753
98	74907.11133
99	74899.50743
100	74877.24422
101	74866.1092
102	74857.37631
103	74848.62276
104	74840.40034
105	74822.64553
106	74799.89943
107	74778.80672
108	74768.52528
109	74756.51158
110	74748.08625
111	74729.41429
112	74718.83153
113	74711.22379
114	74706.82111
115	74702.2421
116	74701.79317
117	74680.73574
118	74672.25087
119	74662.32127
120	74657.23405
121	74651.14308
122	74646.34218
123	74641.1932
124	74633.1622
125	74625.60242
126	74612.73371
127	74604.59363
128	74600.93401
129	74587.09458
130	74583.82059
131	74581.0515
132	74576.75064
133	74566.55632
134	74563.16465
135	74559.11094
136	74552.28499
137	74548.93248
138	74544.07234
139	74533.55654
140	74529.79336
141	74526.29413
142	74522.15566
143	74516.30593
144	74514.34813
145	74511.85169
146	74507.34522
147	74498.98768
148	74485.30526
149	74481.21654
150	74474.48401
151	74459.9178
152	74443.71677
153	74437.4793
154	74425.91656
155	74419.04228
156	74410.90523
157	74408.08365
158	74401.66951
159	74397.46176
160	74390.97439
161	74380.97036
162	74367.88362
163	74361.47003
164	74356.4798
165	74343.8789
166	74335.37319
167	74329.0214
168	74317.82223
169	74310.56272
170	74305.3303
171	74301.83281
172	74294.02817
173	74277.9117
174	74268.65635
175	74260.81916
176	74253.06108
177	74248.80129
178	74237.17647
179	74230.50452
180	74223.37893
181	74217.16719
182	74207.93722
183	74205.17931
184	74201.24146
185	74196.04376
186	74173.18581
187	74167.56359
188	74159.06803
189	74149.55199
190	74148.21447
191	74138.48764
