iter	Passed	Remaining
0	32	16229
1	54	13477
2	78	12944
3	108	13419
4	133	13182
5	161	13261
6	184	13004
7	209	12872
8	233	12731
9	264	12978
10	298	13266
11	327	13320
12	353	13247
13	375	13023
14	398	12881
15	422	12783
16	451	12825
17	476	12759
18	504	12784
19	528	12680
20	551	12590
21	584	12705
22	630	13068
23	680	13504
24	719	13670
25	756	13793
26	791	13867
27	813	13708
28	839	13627
29	860	13479
30	880	13321
31	904	13226
32	929	13150
33	952	13057
34	976	12974
35	995	12835
36	1026	12839
37	1069	13006
38	1113	13166
39	1164	13389
40	1209	13546
41	1253	13664
42	1314	13968
43	1445	14982
44	1518	15349
45	1568	15484
46	1596	15386
47	1621	15271
48	1645	15140
49	1667	15004
50	1691	14890
51	1712	14751
52	1732	14615
53	1755	14499
54	1816	14699
55	1853	14699
56	1877	14593
57	1897	14458
58	1927	14406
59	1969	14440
60	2018	14524
61	2080	14697
62	2132	14790
63	2171	14792
64	2200	14724
65	2235	14697
66	2264	14634
67	2291	14555
68	2311	14436
69	2333	14335
70	2353	14218
71	2380	14153
72	2403	14060
73	2424	13958
74	2446	13862
75	2466	13758
76	2490	13679
77	2511	13588
78	2533	13502
79	2551	13396
80	2573	13310
81	2592	13216
82	2614	13134
83	2633	13042
84	2652	12950
85	2678	12894
86	2701	12822
87	2722	12745
88	2742	12666
89	2762	12585
90	2781	12499
91	2801	12425
92	2828	12380
93	2849	12305
94	2872	12245
95	2893	12178
96	2915	12113
97	2937	12048
98	2960	11992
99	2986	11947
100	3009	11887
101	3030	11824
102	3052	11763
103	3074	11706
104	3093	11637
105	3114	11575
106	3144	11550
107	3182	11552
108	3227	11576
109	3267	11586
110	3311	11606
111	3347	11596
112	3382	11584
113	3414	11560
114	3438	11509
115	3467	11477
116	3481	11398
117	3504	11343
118	3524	11282
119	3546	11229
120	3569	11180
121	3588	11118
122	3611	11067
123	3631	11011
124	3653	10960
125	3676	10913
126	3696	10857
127	3726	10829
128	3751	10789
129	3787	10780
130	3816	10751
131	3841	10710
132	3867	10671
133	3892	10631
134	3913	10581
135	3933	10527
136	3958	10487
137	3977	10432
138	3997	10381
139	4016	10328
140	4036	10276
141	4052	10216
142	4070	10163
143	4099	10135
144	4120	10088
145	4138	10033
146	4158	9986
147	4182	9947
148	4203	9902
149	4225	9859
150	4246	9814
151	4271	9780
152	4308	9771
153	4338	9748
154	4358	9701
155	4379	9658
156	4398	9610
157	4479	9695
158	4570	9802
159	4598	9772
160	4618	9725
161	4644	9689
162	4666	9647
163	4685	9599
164	4705	9553
165	4728	9513
166	4750	9473
167	4770	9428
168	4797	9395
169	4815	9348
170	4837	9307
171	4862	9272
172	4886	9236
173	4913	9206
174	4935	9165
175	4958	9127
176	4979	9087
177	4998	9043
178	5019	9002
179	5037	8956
180	5057	8914
181	5081	8878
182	5103	8840
183	5122	8798
184	5144	8759
185	5166	8722
186	5186	8681
187	5206	8640
188	5227	8601
189	5249	8564
190	5267	8521
191	5288	8483
192	5307	8442
193	5329	8406
194	5348	8365
195	5372	8332
196	5395	8298
197	5413	8257
198	5432	8217
199	5452	8179
200	5473	8141
201	5494	8105
202	5515	8069
203	5536	8032
204	5556	7996
205	5582	7967
206	5613	7945
207	5636	7913
208	5668	7891
209	5714	7890
210	5748	7873
211	5773	7843
212	5803	7820
213	5833	7795
214	5861	7769
215	5887	7740
216	5922	7723
217	5947	7694
218	5975	7666
219	6003	7640
220	6022	7602
221	6040	7564
222	6065	7534
223	6084	7497
224	6106	7463
225	6125	7426
226	6148	7394
227	6169	7360
228	6190	7326
229	6215	7296
230	6235	7260
231	6255	7226
232	6278	7194
233	6300	7162
234	6323	7130
235	6346	7099
236	6368	7067
237	6387	7031
238	6407	6997
239	6426	6962
240	6452	6934
241	6473	6901
242	6495	6869
243	6516	6837
244	6537	6803
245	6556	6769
246	6577	6737
247	6600	6706
248	6623	6676
249	6654	6654
250	6674	6621
251	6696	6590
252	6722	6563
253	6761	6548
254	6785	6519
255	6806	6487
256	6827	6455
257	6902	6474
258	6990	6504
259	7023	6482
260	7050	6455
261	7070	6422
262	7088	6388
263	7108	6354
264	7128	6321
265	7150	6290
266	7174	6260
267	7193	6227
268	7217	6198
269	7236	6164
270	7258	6133
271	7277	6100
272	7301	6071
273	7324	6041
274	7348	6012
275	7369	5981
276	7388	5948
277	7408	5916
278	7429	5885
279	7448	5852
280	7473	5824
281	7493	5793
282	7513	5761
283	7534	5730
284	7558	5702
285	7578	5670
286	7602	5642
287	7619	5608
288	7639	5577
289	7662	5548
290	7686	5520
291	7705	5488
292	7723	5456
293	7742	5425
294	7767	5397
295	7790	5369
296	7809	5337
297	7827	5305
298	7852	5278
299	7874	5249
300	7895	5220
301	7913	5188
302	7934	5158
303	7956	5129
304	7979	5101
305	8002	5073
306	8021	5043
307	8042	5013
308	8061	4982
309	8085	4955
310	8106	4926
311	8130	4899
312	8151	4869
313	8172	4841
314	8195	4813
315	8215	4783
316	8241	4757
317	8266	4731
318	8297	4708
319	8323	4681
320	8347	4654
321	8372	4628
322	8392	4599
323	8418	4573
324	8441	4545
325	8462	4516
326	8484	4488
327	8504	4459
328	8525	4431
329	8545	4402
330	8573	4377
331	8593	4348
332	8609	4317
333	8631	4289
334	8653	4261
335	8673	4233
336	8693	4204
337	8712	4175
338	8751	4156
339	8776	4130
